Date,Region,Customers,Product Type,Bag Size (kg),Quantity Sold,Unit Price,Total Revenue
1/1/2025,Abuja,BuildRight Co,Portland Cement,25,864,3789,3273696
1/2/2025,Kano,StoneWorks Ltd,Portland Cement,25,551,2641,1455191
1/3/2025,Kano,Dangote Ltd,Portland Cement,25,114,2963,337782
1/4/2025,Lagos,Dangote Ltd,PPC,25,891,3310,2949210
1/5/2025,Abuja,MegaCem,PPC,50,687,2440,1676280
1/6/2025,Abuja,Eterna Plc,Portland Cement,50,720,2050,1476000
1/7/2025,Portharcourt,Dangote Ltd,Portland Cement,25,535,3757,2009995
1/8/2025,Lagos,BuildRight Co,Portland Cement,50,481,3580,1721980
1/9/2025,Kano,Dangote Ltd,Slag Cement,50,668,3540,2364720
1/10/2025,Portharcourt,BuildRight Co,Slag Cement,25,213,2857,608541
1/11/2025,Portharcourt,Dangote Ltd,PPC,50,130,3271,425230
1/12/2025,Lagos,StoneWorks Ltd,Portland Cement,25,690,2952,2036880
1/13/2025,Portharcourt,StoneWorks Ltd,Portland Cement,25,700,2284,1598800
1/14/2025,Portharcourt,Eterna Plc,Portland Cement,25,287,2006,575722
1/15/2025,Lagos,MegaCem,Slag Cement,50,846,3148,2663208
1/16/2025,Lagos,Eterna Plc,Slag Cement,50,440,2044,899360
1/17/2025,Lagos,Eterna Plc,PPC,50,214,3962,847868
1/18/2025,Kaduna,Eterna Plc,PPC,25,845,3064,2589080
1/19/2025,Portharcourt,Eterna Plc,Slag Cement,50,174,3433,597342
1/20/2025,Kaduna,Eterna Plc,Portland Cement,25,502,2871,1441242
1/21/2025,Portharcourt,Dangote Ltd,Slag Cement,25,383,2607,998481
1/22/2025,Kano,Eterna Plc,Slag Cement,25,297,3098,920106
1/23/2025,Kaduna,StoneWorks Ltd,White Cement,25,528,2004,1058112
1/24/2025,Kano,MegaCem,White Cement,50,604,3004,1814416
1/25/2025,Abuja,Eterna Plc,White Cement,50,961,3224,3098264
1/26/2025,Kaduna,Eterna Plc,PPC,25,994,3660,3638040
1/27/2025,Kano,StoneWorks Ltd,White Cement,25,56,2200,123200
1/28/2025,Lagos,BuildRight Co,White Cement,50,148,3434,508232
1/29/2025,Kaduna,Eterna Plc,PPC,25,561,2245,1259445
1/30/2025,Kano,MegaCem,Slag Cement,25,432,2136,922752
1/31/2025,Portharcourt,Eterna Plc,PPC,25,147,3229,474663
2/1/2025,Lagos,Eterna Plc,Slag Cement,25,518,2559,1325562
2/2/2025,Abuja,Eterna Plc,Portland Cement,25,641,3808,2440928
2/3/2025,Portharcourt,Dangote Ltd,PPC,25,180,3981,716580
2/4/2025,Kano,Eterna Plc,Slag Cement,50,909,3620,3290580
2/5/2025,Abuja,Eterna Plc,White Cement,50,701,3248,2276848
2/6/2025,Kaduna,Dangote Ltd,Portland Cement,25,866,2854,2471564
2/7/2025,Portharcourt,Dangote Ltd,White Cement,25,413,3772,1557836
2/8/2025,Kaduna,Eterna Plc,White Cement,25,158,3961,625838
2/9/2025,Abuja,BuildRight Co,White Cement,50,277,2161,598597
2/10/2025,Abuja,Eterna Plc,Portland Cement,25,89,2913,259257
2/11/2025,Lagos,Dangote Ltd,Slag Cement,25,805,2510,2020550
2/12/2025,Kaduna,BuildRight Co,Portland Cement,50,466,3122,1454852
2/13/2025,Abuja,StoneWorks Ltd,Slag Cement,50,925,2298,2125650
2/14/2025,Kaduna,StoneWorks Ltd,Portland Cement,50,940,2559,2405460
2/15/2025,Abuja,MegaCem,Portland Cement,50,464,2349,1089936
2/16/2025,Abuja,Dangote Ltd,Slag Cement,25,343,3582,1228626
2/17/2025,Kaduna,MegaCem,Slag Cement,50,507,2443,1238601
2/18/2025,Kano,Eterna Plc,White Cement,25,858,2057,1764906
2/19/2025,Portharcourt,Eterna Plc,PPC,50,537,2258,1212546
2/20/2025,Kano,Eterna Plc,Slag Cement,25,626,2092,1309592
2/21/2025,Kano,MegaCem,White Cement,50,449,2417,1085233
2/22/2025,Kano,MegaCem,Slag Cement,50,351,2214,777114
2/23/2025,Kano,Dangote Ltd,White Cement,50,304,2601,790704
2/24/2025,Abuja,StoneWorks Ltd,White Cement,25,353,3745,1321985
2/25/2025,Abuja,BuildRight Co,Slag Cement,25,290,2612,757480
2/26/2025,Lagos,StoneWorks Ltd,PPC,50,764,2468,1885552
2/27/2025,Abuja,Eterna Plc,Portland Cement,50,299,3853,1152047
2/28/2025,Abuja,Eterna Plc,Portland Cement,25,278,3565,991070
3/1/2025,Portharcourt,StoneWorks Ltd,Slag Cement,50,593,2436,1444548
3/2/2025,Kano,Eterna Plc,Portland Cement,50,347,3729,1293963
3/3/2025,Kano,StoneWorks Ltd,Slag Cement,50,446,2127,948642
3/4/2025,Portharcourt,Eterna Plc,PPC,50,384,2180,837120
3/5/2025,Kaduna,BuildRight Co,PPC,50,679,3690,2505510
3/6/2025,Kaduna,MegaCem,White Cement,25,676,3829,2588404
3/7/2025,Abuja,Dangote Ltd,Portland Cement,50,845,2937,2481765
3/8/2025,Portharcourt,Dangote Ltd,Portland Cement,25,580,2343,1358940
3/9/2025,Abuja,BuildRight Co,PPC,25,604,3534,2134536
3/10/2025,Kaduna,Eterna Plc,Portland Cement,50,292,2770,808840
3/11/2025,Portharcourt,MegaCem,White Cement,25,577,2399,1384223
3/12/2025,Kano,Eterna Plc,Slag Cement,25,557,3967,2209619
3/13/2025,Lagos,Eterna Plc,Slag Cement,25,971,2115,2053665
3/14/2025,Lagos,StoneWorks Ltd,PPC,50,114,2834,323076
3/15/2025,Kaduna,Eterna Plc,White Cement,50,357,2011,717927
3/16/2025,Abuja,BuildRight Co,White Cement,25,197,2400,472800
3/17/2025,Abuja,Dangote Ltd,White Cement,25,118,2967,350106
3/18/2025,Lagos,Eterna Plc,PPC,50,713,2103,1499439
3/19/2025,Portharcourt,StoneWorks Ltd,Slag Cement,50,84,2783,233772
3/20/2025,Kaduna,BuildRight Co,Slag Cement,50,421,3408,1434768
3/21/2025,Portharcourt,BuildRight Co,White Cement,25,367,3905,1433135
3/22/2025,Portharcourt,Dangote Ltd,PPC,25,560,3777,2115120
3/23/2025,Abuja,StoneWorks Ltd,PPC,50,567,2912,1651104
3/24/2025,Lagos,Eterna Plc,White Cement,25,687,3807,2615409
3/25/2025,Kaduna,BuildRight Co,Slag Cement,50,596,3711,2211756
3/26/2025,Kaduna,Eterna Plc,Portland Cement,25,280,2328,651840
3/27/2025,Portharcourt,StoneWorks Ltd,PPC,25,802,2918,2340236
3/28/2025,Abuja,Dangote Ltd,Portland Cement,25,978,2523,2467494
3/29/2025,Kaduna,Eterna Plc,PPC,25,293,2500,732500
3/30/2025,Kaduna,Eterna Plc,Slag Cement,25,147,2931,430857
3/31/2025,Lagos,StoneWorks Ltd,White Cement,50,373,2596,968308
4/1/2025,Kano,BuildRight Co,Slag Cement,50,480,2164,1038720
4/2/2025,Kaduna,BuildRight Co,PPC,50,695,2386,1658270
4/3/2025,Portharcourt,Dangote Ltd,PPC,50,756,3011,2276316
4/4/2025,Kaduna,StoneWorks Ltd,Slag Cement,25,908,3249,2950092
4/5/2025,Abuja,Eterna Plc,Portland Cement,25,943,3787,3571141
4/6/2025,Kano,BuildRight Co,White Cement,25,709,3227,2287943
4/7/2025,Kaduna,BuildRight Co,PPC,25,452,3602,1628104
4/8/2025,Lagos,BuildRight Co,Portland Cement,25,721,3232,2330272
4/9/2025,Kaduna,BuildRight Co,PPC,50,225,3065,689625
4/10/2025,Lagos,BuildRight Co,White Cement,50,378,2506,947268
4/11/2025,Kaduna,MegaCem,Slag Cement,50,163,3825,623475
4/12/2025,Portharcourt,Eterna Plc,White Cement,25,244,2431,593164
4/13/2025,Kaduna,MegaCem,White Cement,25,334,3165,1057110
4/14/2025,Abuja,Eterna Plc,PPC,25,443,2572,1139396
4/15/2025,Kano,StoneWorks Ltd,Portland Cement,25,814,3667,2984938
4/16/2025,Lagos,BuildRight Co,White Cement,25,855,2096,1792080
4/17/2025,Lagos,Dangote Ltd,Slag Cement,25,421,3994,1681474
4/18/2025,Kaduna,Eterna Plc,PPC,25,199,2945,586055
4/19/2025,Abuja,StoneWorks Ltd,Portland Cement,25,808,3271,2642968
4/20/2025,Abuja,Dangote Ltd,White Cement,50,365,2839,1036235
4/21/2025,Abuja,MegaCem,Slag Cement,50,873,2371,2069883
4/22/2025,Abuja,BuildRight Co,Portland Cement,25,847,3546,3003462
4/23/2025,Portharcourt,Dangote Ltd,White Cement,50,570,2844,1621080
4/24/2025,Portharcourt,Dangote Ltd,Slag Cement,25,528,2078,1097184
4/25/2025,Kano,StoneWorks Ltd,PPC,25,936,2810,2630160
4/26/2025,Kaduna,Dangote Ltd,Portland Cement,50,443,3784,1676312
4/27/2025,Kaduna,Dangote Ltd,PPC,50,961,2401,2307361
4/28/2025,Kaduna,MegaCem,Portland Cement,25,999,2019,2016981
4/29/2025,Portharcourt,Dangote Ltd,Portland Cement,50,503,2124,1068372
4/30/2025,Lagos,MegaCem,Slag Cement,25,309,3302,1020318
5/1/2025,Lagos,Dangote Ltd,PPC,25,745,2371,1766395
5/2/2025,Abuja,Dangote Ltd,Portland Cement,25,56,2103,117768
5/3/2025,Kano,MegaCem,PPC,25,95,2037,193515
5/4/2025,Kaduna,MegaCem,Slag Cement,25,351,3786,1328886
5/5/2025,Abuja,StoneWorks Ltd,Portland Cement,50,391,2034,795294
5/6/2025,Portharcourt,BuildRight Co,Slag Cement,50,408,3608,1472064
5/7/2025,Abuja,Dangote Ltd,PPC,50,522,3483,1818126
5/8/2025,Kano,Dangote Ltd,Portland Cement,25,821,3764,3090244
5/9/2025,Kano,Eterna Plc,Portland Cement,50,173,3981,688713
5/10/2025,Portharcourt,StoneWorks Ltd,Portland Cement,25,337,3472,1170064
5/11/2025,Lagos,StoneWorks Ltd,Portland Cement,50,268,3280,879040
5/12/2025,Kaduna,BuildRight Co,PPC,25,880,3161,2781680
5/13/2025,Portharcourt,Dangote Ltd,Portland Cement,25,154,2634,405636
5/14/2025,Abuja,Eterna Plc,Portland Cement,50,937,2225,2084825
5/15/2025,Lagos,MegaCem,Slag Cement,50,892,3948,3521616
5/16/2025,Portharcourt,Eterna Plc,PPC,50,522,3748,1956456
5/17/2025,Portharcourt,Eterna Plc,PPC,25,437,2684,1172908
5/18/2025,Portharcourt,MegaCem,Slag Cement,50,690,2987,2061030
5/19/2025,Lagos,BuildRight Co,Slag Cement,25,528,2229,1176912
